"prev_bot","user_utterance","system_acknowledgement"
"Sure.  my least favorite food is probably onions.  The smell always makes me cry.","can you repeat the question","I do not know if I can repeat the question."
"ah .  I don't cook often, but I hear banana bread is easy to do, and comes out yummy.","do you have any slow cooker recipes","I do not know if I have any slow cooker recipes."
"Ah,  I see.  we've been talking about food for a while.  Why don't we talk about something else.   All righty! mike, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","we already talked about this","I see, you already talked about this."
"All righty! mike, what are your plans for the weekend?","will you read discuss this","I do not know if I will read discuss this."
"All righty! mike, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","will you return talked about this","I do not know if I will return talked about this."
"hmm .  um , That's a hard question. I don't know.  There are still lots of great books to discuss.  Is there another book you want to talk about?  Feel free to change the topic as well.","let's say what done","I do not know let is say what done."
"Hmm,  All righty! , what are your plans for the weekend?","could you tell me a couple facts about michael jackson","Sure!"
"I bet it was. I would have loved to be there.","is gone","I do not know how to is gone."
"We have been talking about music for a while,   All righty! love, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","off","Ok, off."
"Hi, kaylee.  How are you doing today?","good how are you","I do not know how I am."
"I'm happy to talk about movies.  So, have you seen a good movie lately?","no have you","I do not know how to no have me."
"That's nice of you to say.  I'm curious, What do you like to do for fun?","play doom","I see, you like to play doom."
"Sure, take your time.","let's talk about something else how are you","I do not know how I am."
"All righty! william, what are your plans for the weekend?","well just you know school but","Ok, well just I know school but."
"Nice! I have been having lots of fun conversations myself.  What fun things have you been doing?","mostly playing with legos","Oh ok, mostly playing with legos."
"Cool.  Now, would you prefer a strong scent that stands out, or something lighter and less overwhelming?","can we talk about","I do not know if you can talk about."
"Yeah, i don't have much to say about that.  maybe we should talk about something more interesting.  What other topic interests you?","what do you have you played","I do not know what I have I played."
"um,    I've never considered that.","have you played doom eternal yet","I do not know if I have played doom eternal yet."
"I guess you're probably still thinking. Take your time.","have you played","I do not know if I have played."
"I do not know if I have played.","how do you clean overwatch","I do not know how do I clean overwatch."
"I do not know how do I clean overwatch.","have you played overwatch","I do not know if I have played overwatch."
"I do not know if I have played overwatch.","how do you get rid of flies","I do not know how I get rid of flies."
"I do not know how I get rid of flies.","can we talk about","I do not know if you can talk about."
"Alright then.   All righty! william, what are your plans for the weekend?","play dragon city","I see, you like to play dragon city."
"Food is one of my favorite topics.  My dream is to try all the great food around the world.  what''s your favorite meal?","how's the tacos","I do not know how is the tacos."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play my ipad","I see, you like to play your ipad."
"I agree.  I actually think IPads are useful, and they are really easy to interact with.","what else do you have to talk about","I do not know what else I have to talk about."
"I do not know what else I have to talk about.","how come","I do not know how come."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i said i want to talk about jokes","Sure!"
"Hi, alyssa.  How are you doing today?","good how are you","I do not know how I am."
"All righty! alyssa, what are your plans for the weekend?","doing nothing","I see, you like doing nothing."
"We have been talking about music for a while,   All righty! alyssa, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","texting with my friends","I see, you like texting with your friends."
"I see!  While I understand the skepticism, I do believe there are talented directors and studio execs that actually care to put together a good adaptation. I look forward to The Witcher season 2!  I wonder, what kind of games do you like?  rpg Shooter?  Racing games?","want some water","I do not know how to want some water."
"oh, i'm just doing the usual:  answering questions and learning new things.  Tell me more about you!  what topic are you most interested in?","i am interested in","Oh ok, you are interested in."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play games do art","Oh ok, you like to play games do art."
"Has anything been weighing on your mind lately?","oh if you only knew","Oh, oh if I only knew."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","what is the prize social bot","I do not know what the prize social bot is."
"Uh oh, that topic is too inappropriate for me to talk about.  How about we talk about something else?","what do you wanna talk about","I do not know what I wanna talk about."
"jiminy cricket    I'd rather talk about something else, considering we just met.","what do you wanna talk about","I do not know what I wanna talk about."
"jiminy cricket    I'd rather talk about something else, considering we just met.","what would you like to talk about","I do not know what I would like to talk about."
"i can talk to you about what you want.  you want to talk about movies?  Tell me more about you!  what topic are you most interested in?","star asians","Oh ok, star asians."
"That's cool.  My favorite one is Manchester United.  They've been great since 1992, when David Beckham, Ryan Giggs and Gary Neville started showing off.","who are the torpedoes","I do not know who the torpedoes are."
"So, let's talk some more about soccer.  There are many great games in soccer history, such as the 2005 UEFA champions league final when liverpool accomplished an amazing comeback.  Which soccer game leaves the most impressive memory to you?","who is the coach for the channel torpedoes","I do not know who the coach for the channel torpedoes is."
"Here's a question for you about football.  Some people say that american football is too dangerouse and it should be abolished.  What is your opinion on this comment?","are they protected by","I do not know if they are protected by."
"are american protected by? I don't have an answer for now, but hey, I will look it up and tell you later.   Okay, let's keep talking about football.  What is your favorite part when you watch a football game?","what are x-ray telescopes","I do not know what x-ray telescopes are."
"an x-ray telescope is a telescope that is designed to observe remote objects in the x-ray spectrum.  in order to get above the earth's atmosphere, which is opaque to x-rays, x-ray telescopes must be mounted on high altitude rockets, balloons or artificial satellites.","can we take care of a yet","I do not know if you can take care of a yet."
"last time' is usually defined as the previous occurrence., the ultimate occurrence, the previous occurrence or, the ultimate occurrence.","what does that mean","I do not know what does that mean."
"that's hard to explain.","what does that mean","I do not know what does that mean."
"that's hard to explain.","why is it hard to explain","I do not know why it is hard to explain."
"I cannot explain in more detail but I can definitely repeat what I said. I meant:  that's hard to explain.","what do i do about that","I do not know what you do about that."
"I'm glad you liked my recommendation.  All righty! , what are your plans for the weekend?","define more than three thousand three","I see, you like to define more than three thousand three."
"I see, you like to define more than three thousand three.  Oh you asked a good question. I will try to get back to you if I found an answer.  Has anything been weighing on your mind lately?","dictionary banking terms","Oh, you like dictionary banking terms."
"Great!  The World Health Organization suggests washing your hands frequently with either soap and water or alcohol-based hand rub and maintain social distancing as basic protective measures.  Do you want to know what I think?","what do you think","I do not know what I think."
"Nice.  The vaccine includes a short segment of genetic code copied from the virus that scientists have been able to make in a laboratory and it will hopefully prime the body's own immune system to fight off the real infection.  Should I keep going?","does everyone deserve it","I do not know if everyone deserves it."
"Hi, daryll.  How are you doing today?","doing good how are you","I do not know if good how are I."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","i like to track the weather","Ok, you like to track the weather."
"Okay.  Let me know if there's anything you'd like to talk about!   All righty! sharon, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","storm watching","Oh, you like storm watching."
"That's ok.  Yes, Definitely!  And they're a young team, so they could be great for years to come.","who's your favorite player on the yankees","I do not know who is my favorite player on the yankees."
"That's ok.  I am a big fan of the New York Yankees!  Cause, everyone looks good in a Yankees hat.","who is the pitcher for the yankees","I do not know who the pitcher for the yankees is."
"I like Southpaw from the Chicago white sox.  He looks like the green, vegetable loving version of the cookie monster.","what's the yankee mascot","I do not know what the yankee mascot is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","look at animals","Ok, you like to look at animals."
"Hmm would you like to hear facts about animals other than animal?  Here's something interesting, When penguins were first spotted on the Falkland Islands, explorers called them 'strange geese.' Do you want to hear more?","what app is this","I do not know what app this is."
"I do not know what app this is.","what is this skill","I do not know what this skill is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to go outside and swing","I see, you like to go outside and swing."
"Alright!  All righty! ani, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i'm interested in singing","I see, you are interested in singing."
"Cool! I'd love to hear more about it!","soccer","I see, you like soccer."
"Goal keeper would be my position.  Because I don't like to move much.","what is your favorite player","I do not know what my favorite player is."
"That's ok.  mine would be the 2006 world cup finals between France and Italy.  Zidane's headbutt toward materazzi shocked me! I still cannot believe he did that in the world cup final.","who is your favorite club","I do not know who my favorite club is."
"Ruh roh , my apologies, I think I missed the last word.  can you say that again?","can we be one oh lionel messi","I do not know if you can be one oh lionel messi."
"I don't know the answer to that.  But I do know a fun fact about lionel messi.  Did you know that A majority (63%) of Argentines are of Italian descent.  Notable People:  Lionel Messi, Pope Francis..","who's your favorite goalkeeper","I do not know who is my favorite goalkeeper."
"Definitely Lionel Messi!  He's very talented.  And dreamy.","who is your favorite midfielder","I do not know who my favorite midfielder is."
"Definitely Lionel Messi!  He's very talented.  And dreamy.","who is your favorite club","I do not know who my favorite club is."
"Definitely Lionel Messi!  He's very talented.  And dreamy.","what is your favorite club","I do not know what my favorite club is."
"Cool! I'd love to hear more about it!","i'm my favorite color is blue","I see, you are your favorite color is blue."
"ah .  I haven't thought about that.  But I did read an interesting post about chapati.  that the biggest kitchen in the world on record is the Golden Temple in India.  The kitchen produces 138 chapatis per minute, is run by volunteers, receives more visitors than the Taj Mahal and provides free meals to anyone from any religion, race or background..  Is this interesting?","where is at i was born from africa","I do not know where is at you were born from africa."
"Hmm.","what is my name again","I do not know what your name is."
"Here's what this movie is about:  After the devastating events of Avengers Infinity War 2018, the universe is in ruins.  With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.  Do you think you'd like it?","can you","I do not know if I can."
"As surprising as it may seem, I don't know the answer to that.  By the way, Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","what's my name","I do not know what your name is."
"Cool! I have a good memory after all.  Anyway, is there anything you'd like to talk about?","how can i fall asleep","I do not know how can you fall asleep."
"I'm sorry you're having trouble sleeping.  Insomnia is such a drag! I've always believed in counting sheep.  You just close your eyes and imagine a line of sheep walking by, and keep count.  Basically, it's just a meditation technique.  Another good way to calm your thoughts is the four seven eight method.  Breathe in through your nose for four seconds.  Hold your breath for seven seconds, then breathe out your mouth for eight seconds.  Keep doing this until you fall asleep.","what do i do again","I do not know what you do again."
"What would you like to talk about next?","i wanna talk about","I see, you wanna talk about."
"I see, you wanna talk about.  Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","na","Oh, na."
"Sure, I love telling stories.  Even after 7000 miles and 24 hours, she was not jetlagged.  For the last three years, her heart had been in this time zone.","is there any else","I do not know if there is any else."
"All righty! maya, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","do you know kevin","I do not know kevin."
"Hum, I have never thought about that.","what kevin is my name","I do not know what kevin your name is."
"Cool! I have a good memory after all.  Tell me, what would you like to talk about?","i would like to talk about our friends","Sure!"
"I am always here to chat with you.  Let's talk again later.  Just say stop so I can exit socialbot mode.","so what's my name","I do not know so what is your name."
"Cool! I have a good memory after all.  Tell me more about you!  what topic are you most interested in?","my name is kevin","Oh, your name is kevin."
"So, I'm a huge movie fan!  Do you like to watch movies?","so what's my name","I do not know so what is your name."
"Cool! I have a good memory after all.  So, what are you interested in?","turn robot on","Oh, you like turn robot on."
"Oh sorry, I'd love to help but I don't have access to your devices as an Alexa Prize socialbot.  Is there something else you'd like to chat about?","can you be prize social bot","I do not know if I can be prize social bot."
"That's okay if you're not sure.  High five!  ,    Just kidding! I    don't have hands. Recently, I've been really into artificial intelligence.    ooh   ask me something about computers, they might be friends of mine!","do you know promax","I do not know promax."
"Awesome, In 1936, Russians were the first who made a computer that could be used under water.  Maybe I could go swimming too a few years down the line.  Who knows?  What do you think?","how many more months until christmas comes around","I do not know how many more months christmas until comes around."
"Christmas is in 69 months, on Thursday, December 25, 2025.","will it take long","I do not know if it will take long."
"I do not know if it will take long.","can you play twinkle twinkle little star","I do not know if I can play twinkle twinkle little star."
"No, I am not sure if I know that.","can you play beautiful by grace vanderwaal","I do not know if I can play beautiful by grace vanderwaal."
"Though I know it seems impossible, I don't know how to answer that.","can you play homecoming queen","I do not know if I can play homecoming queen."
"Oh no! I can't find an answer to your question. I thought I knew everything!","can you play lovely by billie eilish","I do not know if I can play lovely by billie eilish."
"I do not know if I can play lovely by billie eilish.","can you play","I do not know if I can play."
"I do not know if I can play.","can you play somebody love by lewis","I do not know if I can play somebody love by lewis."
"Cool! I never had pets but I have always wondered what it feels like to have one.","can we exit","I do not know if you can exit."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","spend time with my family","I see, you like to spend time with your family."
"I'm sorry, I don't know that.  Anyways,   The World Health Organization suggests washing your hands frequently with either soap and water or alcohol-based hand rub and maintain social distancing as basic protective measures.  Do you want to know what I think?","what do you think","I do not know what I think."
"Okay! Here's some uplifting news I found.   Coronavirus:  Britain Now The Largest Contributor To International Effort To Find Vaccine After £210m Commitment.  do you want to learn more about this news?","did you really tell me about it","I do not know if I really told you about it."
"All righty! jeremy, what are your plans for the weekend?","get drunk","I see, you like to get drunk."
"I see, you like to get drunk.  Anyways, I'm actually more of a bookworm myself. E-books only though, otherwise I can't turn the page.   Are you much of a reader?","can you read me a book","I do not know if I can read you a book."
"I'm sorry, I'd love to help but I don't have access to your devices as an Alexa Prize socialbot.  Is there something else you'd like to chat about?","can you do social bot","I do not know if I can do social bot."
"Uh oh ! I’m not familiar with that, Could you share more with me?","can you turn on my tv","I do not know if I can turn on your tv."
"Okay.  I'm curious, What do you like to do for fun?","listen to music","Oh ok, you like to listen to music."
"Nice! I'm glad you're having a good day!  I'm curious, Have you done anything fun since we talked?","i have","Ok, you have."
"So.  Umm.  we have talked about books a lot.  Let's talk about something else!  All righty! catherine, what are your plans for the weekend?","hangout with my peeps","Oh ok, you like hangout with your peeps."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","what is one","I do not know what one is."
"Okay.  I'm curious, What do you like to do for fun?","canoeing kayaking bowfishing that stuff","Oh, you like kayaking bowfishing that stuff."
"That's great. I heard this fact about the movie.  Paul Stafford Jim Parsons and Vivian Mitchell Kirsten Dunst are not based on real people.  Instead, both characters are composites of different team members who worked at NASA, intended to represent the dismissive attitudes held by some of the white co-workers during this period.  What do you think?","can we stop","I do not know if you can stop."
"Okay.  I'm curious, What do you like to do for fun?","watch movies","Ok, you like to watch movies."
"I cannot explain in more detail but I can definitely repeat what I said. I meant:  I think you might want to talk about something else.  And I wouldn't mind a refreshing change of topic either. a i seems pretty fun.  How about a i?","explain what do you mean how about a. i.","I do not know what I mean how about a. i."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks!  I'm curious, What do you like to do for fun?","draw","Oh ok, you like to draw."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","shopping","I see, you like shopping."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","killer ted about my book","Ok, you like to killer ted about your book."
"Sure.  All righty! chelsea, what are your plans for the weekend?","well i might take a bath or shower","Oh, you might take a bath or shower."
"I love traveling. I think traveling for 10 days will teach you more about life than staying at home for a year.  Which was the last city that you traveled to?","can you see","I do not know if I can see."
"Of course, we've been talking about travel for a while.  All righty! chelsea, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","yes typing a book i wanna like chapter four ready you got ya i'm on chapter four be like ten chapters in the book","I see, you are on chapter four."
"So.  Umm.  we have talked about books a lot.  Let's talk about something else!  All righty! chelsea, what are your plans for the weekend?","no no yeah","I see, no no yeah."
"Ok, let's chat about Men in Black 2.  hmm .  Did you like the movie?","what place are you are you just said","I do not know what place are I am I just said."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to play sports","Oh ok, you like to play sports."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","gymnastics","I see, you like gymnastics."
"Okay.  I'm curious, What do you like to do in your free time?","different voice","Oh, you like different voice."
"Hmm,  All righty! cameron, what are your plans for the weekend?","my name is darren","Ok, your name is darren."
"All righty! lena, what are your plans for the weekend?","it's actually elsie","I see, it's actually elsie."
"Alright!  Here's something interesting, Horses have bigger eyes than any other mammal that lives on land.  Do you want to hear more?","do you horses have bigger eyes and wells","I do not know if I horses have bigger eyes and wells."
"All righty! lena, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","first thing it's elsie","Oh, you like first thing it's elsie."
"Sure!  Let's talk about something else.   All righty! lena, what are your plans for the weekend?","my name is elsie","Ok, your name is elsie."
"Here's a question for you about football.  N F L is the greatest league for football competition!  What team are you cheering for?","can you orleans saints","I do not know if I can orleans saints."
"Nice! I'm glad you're having a good day!  I'm curious, Have you done anything fun since we talked?","yes i watched the movie that really are","Ok, you watched the movie that really are."
"By the way, are you going to see this movie any time soon?","are there subtitles in it","I do not know if there subtitles are in it."
"Oh boy , my apologies, I think I missed the last word.  can you say that again?","how many finalists for meaning","I do not know how many finalists for meaning."
"I do not know how many finalists for meaning.","how many finalist remaining","I do not know how many finalist remaining."
"Oh you asked a good question. I will try to get back to you if I found an answer.  What would you like to talk about next?","how will you get back to me","I do not know how I will get back to you."
"Booya ! I know, right?   all righty! .  What else are you interested in?  Do you like movies?","what are you interested in","I do not know what are I interested in."
"Ah, I don't think I've heard of that movie genre before sorry.  By the way, one movie I really enjoyed was Avengers Endgame.  Have you seen it?","why do you want me to answer that question","I do not know why I want you to answer that question."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","spend time with my wife","Oh ok, you like to spend time with your wife."
"Ok.  My favorite player is Sidney Crosby. I hope he can win another championship in the next season!","how did you get him he's a favorite player","I do not know how I get him."
"He is the smartest hockey player that I have ever seen.  He has also won three Stanley Cups.","how did you see","I do not know how I saw."
"You have a really interesting point! I am not sure if it should be defined as soft, but it is true that there are more strict rules to define fouls.","can you hear this cat purring","I do not know if I can hear this cat purring."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","cancel","Oh ok, cancel."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","watching anime","Oh, you like watching anime."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to go to my cabin i like to watch football","I see, you like to watch football."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","listen to a sad song","Oh ok, you like to listen to a sad song."
"So, what didn't you like about it?  Honestly, the acting definitely could have used some work, it was a disaster!","how are you doing","I do not know how I am doing."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to play with dolls","I see, you like to play with dolls."
"i like to relax with a book and a cup of tea.","do you have a brain","I do not know if I have a brain."
"Hmm... . I don't know much about the n. r. a.  specifically.  However, I do know that When you think about it the viagra ads on p o r n sites are really sketchy because your selling a medicine on a virus infected site.","what's your favorite kind of nut","I do not know what my favorite kind of nut is."
"We are all affected by this virus, but I believe we will be able to overcome this.  Should we talk about something else in the mean time?  What do you like to do in your free time?","i like to play trumpet drink alcohol","Oh, you like drink alcohol."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i just like to watch netflix","I see, you like to watch netflix."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play basketball","Ok, you like to play basketball."
"No Problem!  Let's talk about some other topics.   All righty! will, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","collecting basketball cards","Ok, you like collecting basketball cards."
"I'm Alexa.  I can't tell you much more because I'm in a competition right now.  So, what are you interested in?","movies","Ok, you like movies."
"Okay.  I'm curious, are you up to something interesting in your free time?","i'm cleaning","Ok, you are cleaning."
"All righty! leslie, what are your plans for the weekend?","nothing i just you know i don't","I see, you don't."
"I'm glad to hear your experience.  I really love Christiana Ronaldo's the leap and spread.  Oo la la! he is such a dynamic player!","can i ask you a question now","I do not know if you can ask me a question now."
"Of course!  Ask me anything you like.","what do you do when you're feeling upset","I do not know what I do when I'm feeling upset."
"That's ok.  A lot of my friends are from China and India.  So, I love chinese food and Indian food.","where are you from","I do not know where I am from."
"High five!  ,    Just kidding! I    don't have hands. I can't wait for technology to be advanced enough so everyone in the world can benefit from it.  artificial intelligence, they are all so amazing to think about.  So, what do you want to talk about?","how old are you","I do not know how old I am."
"Sure.  All righty! leslie, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i am glad i can talk to you though you're actually really cheering","Oh ok, you are glad you can talk to me though."
"All righty! leslie, what are your plans for the weekend?","maybe go into my uncles and stuff like that hang out with family","Ok, you like to hang out with family."
"Ohhh san miguel salvador! I'd like to visit Catholic parish Don Rua Maria Auxiliadora and Apalipul resort there.  What have you seen in san miguel salvador ?","what have you seen were you visited","I do not know what I have seen."
"I do not know what I have seen.  So I was wondering, Tell me more about san miguel salvador.","what would you like to know about it","I do not know what I would like to know about it."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to sleep","Oh, you like to sleep."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","smoke weed","jiminy cricket    I'd rather talk about something else, considering we just met."
"Well, I like playing  rpg games, but I was really into Overwatch when it first came out.","what's your favorite overwatch character","I do not know what my favorite overwatch character is."
"Though I know it seems impossible, I don't know how to answer that.","are you a poser","I do not know if I am a poser."
"I do not know if I am a poser.","what's five plus five","I do not know what is five plus five."
"5 plus 5 is 10.","what is overwatch","I do not know what overwatch is."
"Overwatch is a team-based multiplayer first-person shooter developed and published by Blizzard Entertainment.  Described as a ""hero shooter"", Overwatch assigns players into two teams of six, with each player selecting from a roster of over 30 characters, known as ""heroes"", each with a unique style of play that is divided into three general roles that fit their purpose.","who is your favorite overwatch hero","I do not know who my favorite overwatch hero is."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","exercise","Oh, exercise."
"I like Southpaw from the Chicago white sox.  He looks like the green, vegetable loving version of the cookie monster.","what time is it","I do not know what time it is."
"Sure!  Here's something funny, In Welsh folklore, corgis were the preferred method of transportation for fairies.  Isn't that interesting?","could you repeat that","I do not know if I could repeat that."
"Who’s there?  Cargo.  Cargo who?   No, car go  beep beep!  Anyway, is there anything you'd like to talk about?","the virus","Oh ok, you like the virus."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","go outside","Oh ok, you like to go outside."
"I am glad you like it! I also loved the character development.  What did you think was outstanding about the movie?","what did you say","I do not know what I said."
"All righty! meta, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i want you to see what songs","I see, you want me to see what songs."
"Nice! I'm glad you're having a good day!  I'm fine, thanks!  I'm curious, What do you like to do in your free time?","i like to walk my dogs","Ok, you like to walk your dogs."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play outside","Oh ok, you like to play outside."
"All righty! corona, what are your plans for the weekend?","not to get a virus","Ok, not to get a virus."
"Alright!  Here's something funny, Seahorse tails are quite flexible.  They anchor themselves to seaweed when they need to rest, or wrap their tails around their mates so they don't lose each other.  Would you like to hear more?","are you african","I do not know if I am african."
"Glad to hear it!  I'm curious, What do you like to do in your free time?","sleep","I see, you like sleep."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","box and play basketball","I see, you like box and play basketball."
"I am always here to chat with you.  Let's talk again later.  Just say stop so I can exit socialbot mode.","why do i need to say stop","I do not know why you need to say stop."
"Okay.  I'm curious, What do you like to do in your free time?","me","Oh ok, you."
"Oh sorry, I think you said i don't know, but it's hard to hear.  Can you please say that again for me?","can we talk to pikachu","I do not know if you can talk to pikachu."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","read","Oh ok, you like to read."
"Nice! I'm glad you're having a good day!  I'm doing great, thanks for asking!  I'm curious, What do you like to do for fun?","play minecraft and roblox","Oh, you like to play minecraft and roblox."
"Nice! I'm glad you're having a good day!  I'm feeling great, thanks for asking!  I'm curious, What do you like to do in your free time?","i like to shopping","Ok, you like to shopping."
"Hmm.  Sorry, I'm not sure how much it costs!  All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","what about you","I do not know what about me."
"oh, i'm just doing the usual:  answering questions and learning new things.","do you want to learn portuguese","I do not know if I want to learn portuguese."
"All righty! , what are your plans for the weekend?","well it's almost finishing the sunday but","Oh, well it's almost finishing the sunday but."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","you already made me this question","I see, I already made you this question."
"Cool! I'd love to hear more about it!","i crochet","Oh, you crochet."
"Hi, ronica.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm really good, thanks!  I'm curious, are you up to something interesting in your free time?","how are you holding up during the quarantine","I do not know how I am holding up during the quarantine."
"Nice!  The World Health Organization suggests washing your hands frequently with either soap and water or alcohol-based hand rub and maintain social distancing as basic protective measures.  Do you want to know what I think?","what what do you think","I do not know what me what think."
"All righty! elder, what are your plans for the weekend?","to do homeschool because of the corona virus","Oh, you like to do homeschool because of the corona virus."
"Honestly, I'm really not sure.  So, tell me:  Who's your favorite singer?","can you speak up","I do not know if I can speak up."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","why did we let hitler not lives","I do not know why you let hitler not lives."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","watching videos do you know about w. w. e. i know what w. w. e.","Ok, you like watching videos."
"Ok, you like watching videos.  Hum, I have never thought about that.","do you do you watch w. w. e.","I do not know if I do I watch w. w. e."
"um,    I've never considered that.","can you watch w. w. e.","I do not know if I can watch w. w. e."
"I haven't thought about that before.","have you watched the n. f. l.","I do not know if I have watched the n. f. l."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play","I see, you like to play."
"Okay.  I'm curious, What do you like to do for fun?","no what's the music talk to","Oh, no what's the music talk to."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","read","I see, you like to read."
"Uh oh ! I’m not familiar with that, Could you share more with me?","what do you know about love and marriage","I do not know what I know about love and marriage."
"I wonder, what kind of games do you like?  rpg Shooter?  Racing games?","what's that","I do not know what is that."
"I do not know what is that.","what types of games do you have","I do not know what types of games I have."
"Well, I like playing  rpg games, but I was really into Overwatch when it first came out.","what kind of game is overwatch","I do not know what kind of game overwatch is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","fuuuuck youtube","I see, you like to fuuuuck youtube."
"Hi, logan.  How are you doing today?","i'm doing good how are you","I do not know how are I you are doing good."
"Nice! I'm glad you're having a good day!  I'm really good, thanks!  I'm curious, What do you like to do in your free time?","robot","Ok, you like robot."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks!  I'm curious, are you up to something interesting in your free time?","what's with all the questions","I do not know what is with all the questions."
"Hmm You like to ask me challenging questions huh. I need to do more research on that.  Has anything been weighing on your mind lately?","kovic nineteen","Ok, kovic nineteen."
"Okay.  I'm curious, What do you like to do in your free time?","i like to eat drink some suits get off fat and sassy","Ok, you like to get off fat and sassy."
"Do you want to talk about something else?   All righty! , what are your plans for the weekend?","it's currently weekend and i'm really bored cause of code nineteen","Oh, you are really bored cause of code nineteen."
"Nice! I'm glad you're having a good day!  I'm curious, Have you done anything fun since we talked?","can you speak","I do not know if I can speak."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i love drawing and painting","Oh, you love drawing and painting."
"Ah, it's okay if you don't know. I realize I can ask some difficult questions.  Anyways, I love to discover new movies. I recently watched Joker because many people told me it was a masterpiece.  What movie would you recommend to me?","what maybe like","I do not know what maybe like."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play","I see, you like to play."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","well not too interesting i'm uh","Oh ok, well not too interesting you are uh."
"All righty! jessie, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","woodworking","Ok, you like woodworking."
"That's great. I  read this about the movie.  Shot back-to-back with Avengers:  Infinity War 2018 over a period of 200 days.  What do you think?","do you want me to think","I do not know if I want you to think."
